id,openness,agreeableness,neuroticism,extroversion,conscientiousness
19,51.428571428571431,40.857142857142854,48.571428571428569,46.0,44.571428571428569
35,52.0,49.142857142857146,48.857142857142854,43.428571428571431,48.857142857142854
38,52.857142857142854,43.142857142857146,50.285714285714285,42.285714285714285,44.285714285714285
27,52.857142857142854,45.714285714285715,50.285714285714285,42.285714285714285,44.285714285714285
26,52.857142857142854,47.428571428571431,50.285714285714285,48.0,46.0
29,51.714285714285715,47.428571428571431,47.714285714285715,45.714285714285715,49.142857142857146
4,46.0,48.285714285714285,55.714285714285715,46.857142857142854,43.428571428571431
17,50.571428571428569,49.714285714285715,51.714285714285715,47.142857142857146,49.428571428571431
16,49.142857142857146,45.428571428571431,50.285714285714285,44.285714285714285,47.428571428571431
34,52.285714285714285,46.0,52.0,40.0,44.857142857142854
61,46.0,45.428571428571431,55.142857142857146,44.0,49.142857142857146
18,48.571428571428569,47.714285714285715,45.714285714285715,43.428571428571431,46.0
21,50.857142857142854,49.428571428571431,49.428571428571431,45.428571428571431,49.142857142857146
25,50.571428571428569,44.285714285714285,54.0,40.857142857142854,44.285714285714285
13,49.142857142857146,54.571428571428569,51.714285714285715,47.428571428571431,48.571428571428569
42,46.0,44.285714285714285,48.0,45.142857142857146,42.857142857142854
33,54.285714285714285,46.0,52.0,40.0,45.714285714285715
52,45.428571428571431,52.857142857142854,50.571428571428569,44.285714285714285,48.285714285714285
1,50.571428571428569,51.142857142857146,48.285714285714285,46.857142857142854,49.142857142857146
3,48.0,44.285714285714285,55.142857142857146,46.571428571428569,49.714285714285715
2,55.142857142857146,51.428571428571431,48.857142857142854,43.428571428571431,48.0
