id,neuroticism,extroversion,openness,agreeableness,conscientiousness
19,65.825370820782837,101.05062412578353,152.23133656143091,30.396682998467231,78.245948577252719
35,38.765300474188933,33.146152738058447,37.168124706130271,54.521278928126982,45.982004089602356
38,49.181905990387996,45.45345498831044,66.23856884688378,41.494689162600103,47.252806759986512
27,49.592127101803982,64.055819503771986,84.769378344192759,47.932797441882144,52.961182598872483
26,33.469316842564197,33.300119411279596,19.970828993215754,46.225435732169906,28.241254814135711
29,45.709481709424438,32.998721072308761,40.272063013648868,46.602315754117384,41.539281867984847
4,49.798583601277286,28.153624200108396,23.048462132480999,52.377881672873301,33.614694108654582
17,54.333451151718414,31.560205010826159,22.122428876869513,46.11396587281768,26.690854393495748
16,53.486384613717057,55.566961131920671,71.270210017229559,49.817971646117073,49.132073684116961
34,65.484032091822542,70.011823176129127,95.104369988493815,46.690869845450436,62.10030838322988
61,52.810062271125787,21.645488822948543,35.514358246081152,46.925381886467292,38.838420925126655
18,41.705599202357931,72.020616986973721,6.0198333216378561,55.406282229659567,51.915388317654973
21,55.19570552433521,31.428536649537627,50.377101784269854,42.748501396577716,36.556920762072423
25,49.387968476896347,66.444297828327421,60.700459112684477,53.504326505968159,44.727140156785723
13,42.179112976626215,38.300343404338129,28.267058353405229,50.071555302311111,55.43372258287598
42,57.326389508153568,-6.8131664156253198,-5.2416538963787858,46.917768761616635,35.234066452356352
33,55.8208016635148,47.900611516928436,82.032574257609753,47.459445459495598,53.985667111462696
52,46.143024129204676,44.451291231037921,49.219056197374769,51.219007190932764,59.553406513506474
1,38.548485594265486,84.814167812035507,22.81462150180878,53.140964765866805,65.794996398582896
3,48.476767959295415,29.564871008460134,43.939761272646123,55.839317655267969,32.924815875112586
2,38.08244909924278,40.208593152485435,29.6586805941267,59.450882643272131,35.088555104762023
