id,neuroticism,extroversion,openness,agreeableness,conscientiousness
19,41.333333333333336,42.0,54.666666666666664,36.666666666666664,44.571428571428569
35,49.333333333333336,42.0,56.0,50.0,48.857142857142854
38,46.0,42.0,54.0,39.333333333333336,44.285714285714285
27,44.666666666666664,48.0,51.333333333333336,39.333333333333336,44.285714285714285
26,44.666666666666664,48.0,51.333333333333336,45.333333333333336,46.0
29,58.666666666666664,60.0,49.333333333333336,52.666666666666664,49.142857142857146
4,54.666666666666664,42.0,48.0,45.333333333333336,43.428571428571431
17,48.0,46.0,52.666666666666664,52.666666666666664,48.857142857142854
16,56.0,34.0,44.666666666666664,46.666666666666664,47.428571428571431
34,49.333333333333336,48.0,56.0,46.0,44.857142857142854
61,54.666666666666664,50.0,48.0,45.333333333333336,49.142857142857146
18,49.333333333333336,48.0,50.666666666666664,48.0,45.714285714285715
21,43.333333333333336,38.0,56.0,46.0,49.142857142857146
25,44.666666666666664,48.0,51.333333333333336,52.0,44.285714285714285
13,44.0,52.0,50.666666666666664,53.333333333333336,48.571428571428569
42,43.333333333333336,42.0,50.666666666666664,44.0,42.857142857142854
33,64.666666666666671,26.0,52.0,43.333333333333336,45.714285714285715
52,53.333333333333336,42.0,47.333333333333336,54.0,48.285714285714285
1,53.333333333333336,64.0,47.333333333333336,51.333333333333336,49.714285714285715
3,49.333333333333336,38.0,46.0,45.333333333333336,45.714285714285715
2,42.666666666666664,60.0,52.0,50.0,48.0
