id,neuroticism,extroversion,openness,agreeableness,conscientiousness
19,48.571428571428569,47.428571428571431,51.142857142857146,36.666666666666664,45.714285714285715
35,46.285714285714285,47.428571428571431,49.714285714285715,50.0,44.857142857142854
38,50.285714285714285,47.428571428571431,52.285714285714285,39.333333333333336,44.857142857142854
27,50.285714285714285,47.428571428571431,52.857142857142854,39.333333333333336,44.285714285714285
26,50.285714285714285,47.428571428571431,52.857142857142854,45.333333333333336,44.285714285714285
29,50.571428571428569,47.428571428571431,53.142857142857146,52.666666666666664,49.428571428571431
4,52.571428571428569,47.428571428571431,47.428571428571431,45.333333333333336,46.857142857142854
17,52.571428571428569,47.428571428571431,48.857142857142854,52.666666666666664,47.142857142857146
16,50.285714285714285,47.428571428571431,49.142857142857146,46.666666666666664,46.857142857142854
34,50.857142857142854,47.428571428571431,52.285714285714285,46.0,44.857142857142854
61,52.0,47.428571428571431,45.428571428571431,45.333333333333336,46.857142857142854
18,49.714285714285715,47.428571428571431,48.285714285714285,48.0,44.857142857142854
21,49.428571428571431,47.428571428571431,50.857142857142854,46.0,50.0
25,53.714285714285715,47.428571428571431,52.857142857142854,52.0,44.285714285714285
13,48.285714285714285,47.428571428571431,48.571428571428569,53.333333333333336,48.0
42,48.0,46.0,46.571428571428569,44.0,42.285714285714285
33,52.0,47.428571428571431,54.285714285714285,43.333333333333336,47.428571428571431
52,52.0,47.428571428571431,51.142857142857146,54.0,48.571428571428569
1,46.285714285714285,47.428571428571431,48.571428571428569,51.333333333333336,48.571428571428569
3,52.0,47.428571428571431,44.857142857142854,45.333333333333336,43.428571428571431
2,46.571428571428569,47.428571428571431,49.142857142857146,50.0,44.285714285714285
