id,neuroticism,extroversion,openness,agreeableness,conscientiousness
19,41.333333333333336,42.0,54.666666666666664,30.396682998467387,44.571428571428569
35,49.333333333333336,42.0,56.0,54.521278928127032,48.857142857142854
38,46.0,42.0,54.0,41.494689162600174,44.285714285714285
27,44.666666666666664,48.0,51.333333333333336,47.932797441882229,44.285714285714285
26,44.666666666666664,48.0,51.333333333333336,46.225435732169984,46.0
29,58.666666666666664,60.0,49.333333333333336,46.602315754117434,49.142857142857146
4,54.666666666666664,42.0,48.0,52.377881672873308,43.428571428571431
17,48.0,46.0,52.666666666666664,46.113965872817715,48.857142857142854
16,56.0,34.0,44.666666666666664,49.817971646117137,47.428571428571431
34,49.333333333333336,48.0,56.0,46.690869845450528,44.857142857142854
61,54.666666666666664,50.0,48.0,46.925381886467299,49.142857142857146
18,49.333333333333336,48.0,50.666666666666664,55.406282229659588,45.714285714285715
21,43.333333333333336,38.0,56.0,42.748501396577737,49.142857142857146
25,44.666666666666664,48.0,51.333333333333336,53.504326505968272,44.285714285714285
13,44.0,52.0,50.666666666666664,50.071555302311154,48.571428571428569
42,43.333333333333336,42.0,50.666666666666664,46.917768761616607,42.857142857142854
33,64.666666666666671,26.0,52.0,47.459445459495647,45.714285714285715
52,53.333333333333336,42.0,47.333333333333336,51.219007190932814,48.285714285714285
1,53.333333333333336,64.0,47.333333333333336,53.140964765866855,49.714285714285715
3,49.333333333333336,38.0,46.0,55.839317655267955,45.714285714285715
2,42.666666666666664,60.0,52.0,59.45088264327218,48.0
