id,neuroticism,extroversion,openness,agreeableness,conscientiousness
19,48.875567711909675,46.403260875268103,57.320237848611605,30.644398527328114,47.494773122565149
35,48.621647902277807,42.418174030371446,50.801387550260138,48.676445028631584,45.729829822644689
38,52.164388467467425,41.165758067637753,52.799472379068263,39.358057697373482,46.866285407783771
27,50.756536710115185,44.124352543864759,54.26067102848112,43.56507420631813,45.994874145873275
26,49.675159486461297,44.707481196566789,54.270461579215322,43.165186144564231,42.283789011141884
29,52.725956969804948,43.888524446741528,50.437422053506907,45.966741463059613,46.155407459497219
4,50.238065054667679,46.896494130849902,47.204846353051181,52.787920349849792,45.596191003940753
17,47.866234445714092,47.48381500877727,49.482748809073094,50.093345727629348,45.115066023919269
16,48.63363891778009,46.407524670705925,50.775930575581029,49.682284020966861,47.587594288518503
34,49.891115520536097,44.232906119328931,52.248279958103446,46.568666123038476,47.058315616081252
61,52.043729619898883,44.136903606811359,47.876298718835109,46.955454800635486,46.938799353549072
18,42.967956640224315,45.543184784895899,46.712213582427474,54.057815040649274,45.202463932977679
21,50.801745687213234,42.382883212514606,49.578309340748824,45.040703589479449,46.945019244019996
25,49.558199692261425,46.598895804762918,52.924554570688109,52.030444355000299,44.462284048999294
13,46.875929615301885,48.742074017864134,48.915778305464578,52.601664962459225,45.273278715920014
42,48.892628489032383,49.627698733740246,50.28860774778434,47.260247173553346,43.524468016346816
33,50.938592674201857,40.772457260289556,51.322096562511895,43.586298110208837,48.486510000586179
52,49.288256043474078,48.445079750527881,48.265798656336564,52.939603540577863,47.259370963605448
1,40.006697898792851,46.791154809410394,47.752961847265468,54.248887143781609,46.159668022908065
3,51.54973763619013,44.396514871476249,47.266457499587055,51.153566275602707,47.747182559850685
2,47.878096952401286,43.85603026278612,51.397421222303507,49.9676232226984,44.39570157668151
